Vernier Format 2
Sin título.cmbl 8/05/2025 11:49:01 .
Último
Tiempo	Posición	Velocidad 1	Aceleración 1	Angulo	Velocidad 2	Aceleración 2
t	x	v 1	a 1	Angulo	v 2	a 2
s	m	m/s	m/s²	rad	rad/s	rad/s²

2.25	0.353633	-0.324611388889	0.786200462963	9.72148393361	4.27605666739	-2.11163292217
2.3	0.3383695	-0.271065277778	1.10935092593	9.93092344385	4.0627386477	-2.53180477913
2.35	0.326193	-0.207133888889	1.28995524691	10.1229096616	3.93668709061	-1.43828058729
2.4	0.317618	-0.139581944444	1.39206126543	10.3148958793	3.96577591148	-1.13661874127
2.45	0.3119585	-0.0665991666667	1.43869444444	10.5243353895	3.91729454337	-2.45100249894
2.5	0.310758	0.00914666666667	1.37935756173	10.7163216072	3.69428025005	-3.33982758098
2.55	0.3133305	0.0756505555556	1.23125354938	10.8908545324	3.51005105123	-2.80653253176
2.6	0.3188185	0.131673888889	1.08352006173	11.0653874576	3.37430322052	-1.36825194446
2.65	0.3267075	0.181694722222	0.970086574074	11.2224670903	3.3646069469	0.26934093395
2.7	0.3369975	0.229047777778	0.84977191358	11.3970000155	3.4518734095	1.00194827429
2.75	0.34986	0.269636111111	0.681659567901	11.5715329407	3.49065850399	1.26051557088
2.8	0.364609	0.296980833333	0.521116512346	11.7460658659	3.5391398721	2.19782202103
2.85	0.3798725	0.317846666667	0.41419367284	11.9205987911	3.68458397643	3.72229170719
2.9	0.396165	0.338807777778	0.275352777778	12.1125850088	3.89790199612	5.55919687672
2.95	0.413658	0.356529444444	-0.0705055555556	12.3045712266	4.2372715729	7.36916795287
3	0.4337235	0.337473888889	-0.538689969136	12.5314640293	4.68330015952	8.12332256792
3.05	0.448301	0.295646944444	-0.913343364198	12.7758101246	5.09054365165	7.71392434832
3.1	0.46305	0.248675	-1.32007361111	13.0376095124	5.51717969103	5.71002779973
3.15	0.4748835	0.166545555556	-1.73368503086	13.3343154852	5.7692828052	1.59449832898
3.2	0.4807145	0.0639313888889	-1.90698472222	13.6310214581	5.6820163426	-2.58567296592
3.25	0.4810575	-0.0370630555556	-1.80244382716	13.9102741384	5.41052068118	-4.79426862431
3.3	0.4762555	-0.122336666667	-1.53788919753	14.1720735262	5.10993619889	-5.01512819014
3.35	0.468195	-0.191413055556	-1.23945802469	14.4164196215	4.88692190558	-4.45489904753
3.4	0.456533	-0.245435555556	-0.961987962963	14.6607657168	4.68330015952	-3.97008536642
3.45	0.4429845	-0.284404166667	-0.755658641975	14.8876585195	4.45058959259	-2.74727752629
3.5	0.4278925	-0.317179722222	-0.623116666667	15.0970980298	4.38271567723	-1.02888236769
3.55	0.411257	-0.347192222222	-0.475383179012	15.3239908325	4.37301940361	0.307048664704
3.6	0.3929065	-0.369487222222	-0.218450771605	15.5334303427	4.4118044981	1.52985650483
3.65	0.3736985	-0.375775555556	0.194313734568	15.7603231455	4.54755232881	2.00928336726
3.7	0.354319	-0.356243611111	0.738985030864	15.9872159483	4.68330015952	0.883438263353
